Text,link,AnalyzedTextWithoutHttp,hashtag,AnalyzedTextWithoutHttpHashtag,user_mentioned,AnalyzedTextWithoutHttpHashtagUserName,AnalyzedTextWithoutHttpHashtagUserNameNonAlpha,AnalyzedText,positive,negative,neutral,compound,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"“self expression through style is so important to me. these shoes are so versatile and I hope you have fun styling them ” -@billieeilish
",,“self expression through style is so important to me. these shoes are so versatile and I hope you have fun styling them ” -@billieeilish,,“self expression through style is so important to me. these shoes are so versatile and I hope you have fun styling them ” -@billieeilish,,“self expression through style is so important to me. these shoes are so versatile and I hope you have fun styling them ” -@billieeilish,expression through style is so important to these shoes are so versatile and I hope you have fun styling them,expression style important shoes versatile hope fun styling,0.615,0.0,0.385,0.7906,258,0,0.4028,"find, way, want, mean, team, game, dream, watch, break, think","['expression', 'style', 'important', 'shoe', 'versatile', 'hope', 'fun', 'styling']"
"One thing WNBA @aja22wilson never shies away from is hard work. Both on and off the court, she constantly pushes herself to be the best. 
",,"One thing WNBA @aja22wilson never shies away from is hard work. Both on and off the court, she constantly pushes herself to be the best.",,"One thing WNBA @aja22wilson never shies away from is hard work. Both on and off the court, she constantly pushes herself to be the best.",@aja22wilson,"One thing WNBA never shies away from is hard work. Both on and off the court, she constantly pushes herself to be the best.",One thing WNBA never shies away from is hard Both on and off the she constantly pushes herself to be the,One thing WNBA never shies away hard constantly pushes,0.139,0.0,0.861,0.0762,259,4,0.3576,"good, feel, thing, look, athlete, new, nike, go, second, football","['thing', 'wnba', 'never', 'shy', 'hard', 'constantly', 'push']"
"If you're looking for a new route, make your own. 
",,"If you're looking for a new route, make your own.",,"If you're looking for a new route, make your own.",,"If you're looking for a new route, make your own.",If looking for a new make your,looking new make,0.0,0.0,1.0,0.0,260,4,0.397,"good, feel, thing, look, athlete, new, nike, go, second, football","['look', 'new', 'make']"
"“One of the things that I really value in myself, now that I've learnt through the last five years is the ability to show up as a community member, as a family member and as a friend.” @adwoaaboah
",,"“One of the things that I really value in myself, now that I've learnt through the last five years is the ability to show up as a community member, as a family member and as a friend.” @adwoaaboah",,"“One of the things that I really value in myself, now that I've learnt through the last five years is the ability to show up as a community member, as a family member and as a friend.” @adwoaaboah",@adwoaaboah,"“One of the things that I really value in myself, now that I've learnt through the last five years is the ability to show up as a community member, as a family member and as a friend.”",of the things that I really value in now that learnt through the last five years is the ability to show up as a community as a family member and as a,things really value learnt last five years ability show community family member,0.333,0.0,0.667,0.6115,261,2,0.402,"get, time, know, play, see, day, big, share, future, street","['thing', 'really', 'value', 'learn', 'last', 'year', 'ability', 'show', 'community', 'family', 'member']"
"Today's resolution: find a new half-pipe. #justdoit
",,Today's resolution: find a new half-pipe. #justdoit,#justdoit,Today's resolution: find a new half-pipe.,,Today's resolution: find a new half-pipe.,find a new,find new,0.0,0.0,1.0,0.0,262,0,0.4183,"find, way, want, mean, team, game, dream, watch, break, think","['find', 'new']"
"Never Before. Forever After.
",,Never Before. Forever After.,,Never Before. Forever After.,,Never Before. Forever After.,Never Forever,Never Forever,0.0,0.0,1.0,0.0,263,3,0.31,"never, make, world, always, even, do, love, give, stay, well","['never', 'forever']"
"Let’s chat community. 
",,Let’s chat community.,,Let’s chat community.,,Let’s chat community.,chat,chat,0.0,0.0,1.0,0.0,264,4,0.3598,"good, feel, thing, look, athlete, new, nike, go, second, football",['chat']
"WNBA guard @sabrina_i went from being college superstar to sitting on the sidelines after an ankle injury abruptly ended her rookie season.
",,WNBA guard @sabrina_i went from being college superstar to sitting on the sidelines after an ankle injury abruptly ended her rookie season.,,WNBA guard @sabrina_i went from being college superstar to sitting on the sidelines after an ankle injury abruptly ended her rookie season.,@sabrina_i,WNBA guard went from being college superstar to sitting on the sidelines after an ankle injury abruptly ended her rookie season.,WNBA guard went from being college superstar to sitting on the sidelines after an ankle injury abruptly ended her rookie,WNBA guard went college superstar sitting sidelines ankle injury abruptly ended rookie,0.0,0.203,0.797,-0.4215,265,2,0.8025,"get, time, know, play, see, day, big, share, future, street","['go', 'college', 'superstar', 'sit', 'sideline', 'ankle', 'injury', 'abruptly', 'end', 'rookie']"
"“I am taking the responsibility to put Africa on the map.”
",,“I am taking the responsibility to put Africa on the map.”,,“I am taking the responsibility to put Africa on the map.”,,“I am taking the responsibility to put Africa on the map.”,am taking the responsibility to put Africa on the,taking responsibility put Africa,0.0,0.0,1.0,0.0,266,1,0.6037,"take, run, first, step, come, stop, start, push, next, year","['take', 'responsibility', 'put']"
"Les Champions x3 🎾
",,Les Champions x3 🎾,,Les Champions x3 🎾,,Les Champions x3 🎾,Les Champions,Les Champions,0.773,0.0,0.227,0.5267,267,1,0.417,"take, run, first, step, come, stop, start, push, next, year",['champion']
"Welcome to NIKELAND on @roblox, where sport has no rules. Sound on 🔊 @champagnepapi 
",,"Welcome to NIKELAND on @roblox, where sport has no rules. Sound on 🔊 @champagnepapi",,"Welcome to NIKELAND on @roblox, where sport has no rules. Sound on 🔊 @champagnepapi","@roblox, @champagnepapi",Welcome to NIKELAND on where sport has no rules. Sound on 🔊,Welcome to NIKELAND on where sport has no Sound on,Welcome NIKELAND sport Sound,0.5,0.0,0.5,0.4588,268,3,0.4926,"never, make, world, always, even, do, love, give, stay, well","['sport', 'sound']"
"If there were no votes.
",,If there were no votes.,,If there were no votes.,,If there were no votes.,If there were no,,0.0,0.0,0.0,0.0,269,1,0.238,"take, run, first, step, come, stop, start, push, next, year",[]
"That moment when you unite a nation and inspire a new generation. 
",,That moment when you unite a nation and inspire a new generation.,,That moment when you unite a nation and inspire a new generation.,,That moment when you unite a nation and inspire a new generation.,That moment when you unite a nation and inspire a new,moment unite nation inspire new,0.481,0.0,0.519,0.5719,270,4,0.4166,"good, feel, thing, look, athlete, new, nike, go, second, football","['moment', 'unite', 'nation', 'inspire', 'new']"
"At 1, I introduced myself to the world.
",,"At 1, I introduced myself to the world.",,"At 1, I introduced myself to the world.",,"At 1, I introduced myself to the world.",At I introduced myself to the,introduced,0.0,0.0,1.0,0.0,271,4,0.3769,"good, feel, thing, look, athlete, new, nike, go, second, football",['introduce']
"Believe it, chase it, break it. 🥇
",,"Believe it, chase it, break it. 🥇",,"Believe it, chase it, break it. 🥇",,"Believe it, chase it, break it. 🥇",Believe chase break,Believe chase break,0.0,0.0,1.0,0.0,272,1,0.3377,"take, run, first, step, come, stop, start, push, next, year","['believe', 'break']"
"“My father used to tell me that the real dreamer is the one who dreams about the impossible.” #justdoit
",,“My father used to tell me that the real dreamer is the one who dreams about the impossible.” #justdoit,#justdoit,“My father used to tell me that the real dreamer is the one who dreams about the impossible.”,,“My father used to tell me that the real dreamer is the one who dreams about the impossible.”,father used to tell me that the real dreamer is the one who dreams about the,father used tell real dreamer one dreams,0.31,0.0,0.69,0.4019,273,1,0.3379,"take, run, first, step, come, stop, start, push, next, year","['use', 'tell', 'real', 'dreamer', 'dream']"
"Running will take you anywhere you let it. #justdoit
",,Running will take you anywhere you let it. #justdoit,#justdoit,Running will take you anywhere you let it.,,Running will take you anywhere you let it.,Running will take you anywhere you let,Running take anywhere let,0.0,0.0,1.0,0.0,274,1,0.6547,"take, run, first, step, come, stop, start, push, next, year","['run', 'take', 'anywhere', 'let']"
"You don't need a reason.
",,You don't need a reason.,,You don't need a reason.,,You don't need a reason.,You need a,need,0.0,0.0,1.0,0.0,275,1,0.4172,"take, run, first, step, come, stop, start, push, next, year",['need']
"We’ve been working on something for the littlest athletes… tune in tomorrow! 👀
",,We’ve been working on something for the littlest athletes… tune in tomorrow! 👀,,We’ve been working on something for the littlest athletes… tune in tomorrow! 👀,,We’ve been working on something for the littlest athletes… tune in tomorrow! 👀,been working on something for the littlest tune in,working something littlest tune,0.0,0.0,1.0,0.0,276,4,0.5733,"good, feel, thing, look, athlete, new, nike, go, second, football","['work', 'littlest', 'tune']"
"See the city differently. #justdoit
",,See the city differently. #justdoit,#justdoit,See the city differently.,,See the city differently.,See the city,See city,0.0,0.0,1.0,0.0,277,2,0.5165,"get, time, know, play, see, day, big, share, future, street","['see', 'city']"
"Step up. Measure up. Improve every time you lace up. The Nike LunarTR1+ tracks every step, rep, and all your effort. Know your stats so you can beat them. #gameonworld #nikeplus
",,"Step up. Measure up. Improve every time you lace up. The Nike LunarTR1+ tracks every step, rep, and all your effort. Know your stats so you can beat them. #gameonworld #nikeplus",#gameonworld #nikeplus,"Step up. Measure up. Improve every time you lace up. The Nike LunarTR1+ tracks every step, rep, and all your effort. Know your stats so you can beat them.",,"Step up. Measure up. Improve every time you lace up. The Nike LunarTR1+ tracks every step, rep, and all your effort. Know your stats so you can beat them.",Step Measure Improve every time you lace The Nike tracks every and all your Know your stats so you can beat,Step Measure Improve every time lace Nike tracks every Know stats beat,0.209,0.0,0.791,0.4404,278,1,0.5304,"take, run, first, step, come, stop, start, push, next, year","['step', 'measure', 'improve', 'time', 'lace', 'track', 'know', 'stat', 'beat']"
"“If I would be perfect, what would be the motivation to keep going? It's part of life not to have all the answers.” 
",,"“If I would be perfect, what would be the motivation to keep going? It's part of life not to have all the answers.”",,"“If I would be perfect, what would be the motivation to keep going? It's part of life not to have all the answers.”",,"“If I would be perfect, what would be the motivation to keep going? It's part of life not to have all the answers.”",I would be what would be the motivation to keep part of life not to have all the,would would motivation keep part life,0.324,0.0,0.676,0.34,279,3,0.4998,"never, make, world, always, even, do, love, give, stay, well","['motivation', 'keep', 'part', 'life']"
"The USWNT arrive tailored in @nike x @martine_rose.
",,The USWNT arrive tailored in @nike x @martine_rose.,,The USWNT arrive tailored in @nike x @martine_rose.,@nike @martine_rose.,The USWNT arrive tailored in x,The USWNT arrive tailored in x,USWNT arrive tailored x,0.0,0.0,1.0,0.0,280,4,0.5729,"good, feel, thing, look, athlete, new, nike, go, second, football","['uswnt', 'arrive', 'tailor']"
"“Dreams don’t happen overnight…you gotta run dreams down.”- @deionsanders 
",,“Dreams don’t happen overnight…you gotta run dreams down.”- @deionsanders,,“Dreams don’t happen overnight…you gotta run dreams down.”- @deionsanders,@deionsanders,“Dreams don’t happen overnight…you gotta run dreams down.”-,happen gotta run dreams,happen gotta run dreams,0.474,0.0,0.526,0.4019,281,0,0.3499,"find, way, want, mean, team, game, dream, watch, break, think","['happen', 'get', 'run', 'dream']"
"Meet the bold new collection inspired by a 50-year tradition of breaking tradition. This is Circa 72. 
",,Meet the bold new collection inspired by a 50-year tradition of breaking tradition. This is Circa 72.,,Meet the bold new collection inspired by a 50-year tradition of breaking tradition. This is Circa 72.,,Meet the bold new collection inspired by a 50-year tradition of breaking tradition. This is Circa 72.,Meet the bold new collection inspired by a tradition of breaking This is Circa,Meet bold new collection inspired tradition breaking Circa,0.492,0.0,0.508,0.7003,282,4,0.3784,"good, feel, thing, look, athlete, new, nike, go, second, football","['meet', 'bold', 'new', 'collection', 'inspire', 'tradition', 'break', 'circa']"
"Outplay yourself.
",,Outplay yourself.,,Outplay yourself.,,Outplay yourself.,Outplay,Outplay,0.0,0.0,1.0,0.0,283,1,0.4006,"take, run, first, step, come, stop, start, push, next, year",['outplay']
"Vert. Quickness. Hustle. Nike+ Basketball gives you the advantage you need starting 6.29. #gameonworld #nikeplus
",,Vert. Quickness. Hustle. Nike+ Basketball gives you the advantage you need starting 6.29. #gameonworld #nikeplus,#gameonworld #nikeplus,Vert. Quickness. Hustle. Nike+ Basketball gives you the advantage you need starting 6.29.,,Vert. Quickness. Hustle. Nike+ Basketball gives you the advantage you need starting 6.29.,Basketball gives you the advantage you need starting,Basketball gives advantage need starting,0.333,0.0,0.667,0.25,284,1,0.546,"take, run, first, step, come, stop, start, push, next, year","['basketball', 'give', 'advantage', 'need', 'start']"
"What if past products didn’t have to be forgotten? Nike Re-Creation gives deadstock a new life inspired by the community as they’re reimagined through local designers’ lens. Every Re-Creation collection’s made up of limited-edition items, only available in the city they’re created in.
",,"What if past products didn’t have to be forgotten? Nike Re-Creation gives deadstock a new life inspired by the community as they’re reimagined through local designers’ lens. Every Re-Creation collection’s made up of limited-edition items, only available in the city they’re created in.",,"What if past products didn’t have to be forgotten? Nike Re-Creation gives deadstock a new life inspired by the community as they’re reimagined through local designers’ lens. Every Re-Creation collection’s made up of limited-edition items, only available in the city they’re created in.",,"What if past products didn’t have to be forgotten? Nike Re-Creation gives deadstock a new life inspired by the community as they’re reimagined through local designers’ lens. Every Re-Creation collection’s made up of limited-edition items, only available in the city they’re created in.",What if past products have to be Nike gives deadstock a new life inspired by the community as reimagined through local Every made up of only available in the city created,past products Nike gives deadstock new life inspired community reimagined local Every made available city created,0.271,0.0,0.729,0.6369,285,3,0.6088,"never, make, world, always, even, do, love, give, stay, well","['past', 'product', 'give', 'deadstock', 'new', 'life', 'inspire', 'community', 'reimagine', 'local', 'make', 'available', 'city', 'create']"
"@dbook is not of an era.
",,@dbook is not of an era.,,@dbook is not of an era.,@dbook,is not of an era.,is not of an,,0.0,0.0,0.0,0.0,286,1,0.238,"take, run, first, step, come, stop, start, push, next, year",[]
"Improbable doesn't mean impossible. #justdoit
",,Improbable doesn't mean impossible. #justdoit,#justdoit,Improbable doesn't mean impossible.,,Improbable doesn't mean impossible.,Improbable mean,Improbable mean,0.0,0.0,1.0,0.0,287,0,0.4763,"find, way, want, mean, team, game, dream, watch, break, think","['improbable', 'mean']"
"On this episode of In The Wild, we join @b_reck and @raymond_pm leading Chi’s most fashionable squad of 40+ runners to conquer Humboldt Park. Want in? Pull up to @atmoscoffeeshop Tuesdays at 6:30am ready to sweat. 
",,"On this episode of In The Wild, we join @b_reck and @raymond_pm leading Chi’s most fashionable squad of 40+ runners to conquer Humboldt Park. Want in? Pull up to @atmoscoffeeshop Tuesdays at 6:30am ready to sweat.",,"On this episode of In The Wild, we join @b_reck and @raymond_pm leading Chi’s most fashionable squad of 40+ runners to conquer Humboldt Park. Want in? Pull up to @atmoscoffeeshop Tuesdays at 6:30am ready to sweat.",@b_reck @raymond_pm @atmoscoffeeshop,"On this episode of In The Wild, we join and leading Chi’s most fashionable squad of 40+ runners to conquer Humboldt Park. Want in? Pull up to Tuesdays at 6:30am ready to sweat.",On this episode of In The we join and leading most fashionable squad of runners to conquer Humboldt Want Pull up to Tuesdays at ready to,episode join leading fashionable squad runners conquer Humboldt Want Pull Tuesdays ready,0.4,0.0,0.6,0.6124,288,1,0.5804,"take, run, first, step, come, stop, start, push, next, year","['episode', 'join', 'lead', 'fashionable', 'squad', 'runner', 'want', 'pull', 'tuesday', 'ready']"
"On the street or on the pitch, watch out for @stanwaygeorgia with a ball at her feet. She might make you look silly just for the fun of it 😁 This is #NikeTech 🦁 Shop the new collection now.
",,"On the street or on the pitch, watch out for @stanwaygeorgia with a ball at her feet. She might make you look silly just for the fun of it 😁 This is #NikeTech 🦁 Shop the new collection now.",#NikeTech,"On the street or on the pitch, watch out for @stanwaygeorgia with a ball at her feet. She might make you look silly just for the fun of it 😁 This is 🦁 Shop the new collection now.",@stanwaygeorgia,"On the street or on the pitch, watch out for with a ball at her feet. She might make you look silly just for the fun of it 😁 This is 🦁 Shop the new collection now.",On the street or on the watch out for with a ball at her She might make you look silly just for the fun of it This is Shop the new collection,street watch ball might make look silly fun Shop new collection,0.328,0.0,0.672,0.5267,289,0,0.4553,"find, way, want, mean, team, game, dream, watch, break, think","['ball', 'make', 'look', 'silly', 'fun', 'shop', 'new', 'collection']"
"Nike+ Basketball Presents Sky High with Jus Fly. See the steps he took to win the first Nike+ Dunk competition powered by the revolutionary Nike Hyperdunk+. Step 1: Place a ball halfway between the free-throw line and the baseline.  Starting at half court, run toward the ball. #gameonworld #nikeplus
",,"Nike+ Basketball Presents Sky High with Jus Fly. See the steps he took to win the first Nike+ Dunk competition powered by the revolutionary Nike Hyperdunk+. Step 1: Place a ball halfway between the free-throw line and the baseline. Starting at half court, run toward the ball. #gameonworld #nikeplus",#gameonworld #nikeplus,"Nike+ Basketball Presents Sky High with Jus Fly. See the steps he took to win the first Nike+ Dunk competition powered by the revolutionary Nike Hyperdunk+. Step 1: Place a ball halfway between the free-throw line and the baseline. Starting at half court, run toward the ball.",,"Nike+ Basketball Presents Sky High with Jus Fly. See the steps he took to win the first Nike+ Dunk competition powered by the revolutionary Nike Hyperdunk+. Step 1: Place a ball halfway between the free-throw line and the baseline. Starting at half court, run toward the ball.",Basketball Presents Sky High with Jus See the steps he took to win the first Dunk competition powered by the revolutionary Nike Step Place a ball halfway between the line and the Starting at half run toward the,Basketball Presents Sky High Jus See steps took win first Dunk competition powered revolutionary Nike Step Place ball halfway line Starting half run toward,0.142,0.0,0.858,0.5859,290,1,0.4791,"take, run, first, step, come, stop, start, push, next, year","['basketball', 'present', 'sky', 'high', 'jus', 'see', 'step', 'take', 'win', 'first', 'dunk', 'competition', 'power', 'revolutionary', 'nike', 'step', 'halfway', 'line', 'start', 'half', 'run']"
"Our stars have landed in Houston. @nikebasketball
",,Our stars have landed in Houston. @nikebasketball,,Our stars have landed in Houston. @nikebasketball,@nikebasketball,Our stars have landed in Houston.,Our stars have landed in,stars landed,0.0,0.0,1.0,0.0,291,4,0.4954,"good, feel, thing, look, athlete, new, nike, go, second, football","['star', 'land']"
"Crunch time. #justdoit
",,Crunch time. #justdoit,#justdoit,Crunch time.,,Crunch time.,Crunch,Crunch,0.0,0.0,1.0,0.0,292,3,0.3651,"never, make, world, always, even, do, love, give, stay, well",['crunch']
"Congratulations @sabalenka_aryna on earning the women's world number one ranking and on a dazzling showing in New York.
",,Congratulations @sabalenka_aryna on earning the women's world number one ranking and on a dazzling showing in New York.,,Congratulations @sabalenka_aryna on earning the women's world number one ranking and on a dazzling showing in New York.,@sabalenka_aryna,Congratulations on earning the women's world number one ranking and on a dazzling showing in New York.,Congratulations on earning the world number one ranking and on a dazzling showing in New,Congratulations earning world number one ranking dazzling showing New,0.426,0.0,0.574,0.6369,293,3,0.675,"never, make, world, always, even, do, love, give, stay, well","['congratulation', 'earn', 'world', 'number', 'rank', 'dazzle', 'show', 'new']"
"A running relationship picks up speed. The Nike Zoom JA Fly track spike in Liberty's Mirabelle print is ready to race.
",,A running relationship picks up speed. The Nike Zoom JA Fly track spike in Liberty's Mirabelle print is ready to race.,,A running relationship picks up speed. The Nike Zoom JA Fly track spike in Liberty's Mirabelle print is ready to race.,,A running relationship picks up speed. The Nike Zoom JA Fly track spike in Liberty's Mirabelle print is ready to race.,A running relationship picks up The Nike Zoom JA Fly track spike in Mirabelle print is ready to,running relationship picks Nike Zoom JA Fly track spike Mirabelle print ready,0.185,0.0,0.815,0.3612,294,1,0.5754,"take, run, first, step, come, stop, start, push, next, year","['run', 'relationship', 'pick', 'fly', 'ready']"
"Design is in the details. Air Yeezy II.
",,Design is in the details. Air Yeezy II.,,Design is in the details. Air Yeezy II.,,Design is in the details. Air Yeezy II.,Design is in the Air Yeezy,Design Air Yeezy,0.0,0.0,1.0,0.0,295,2,0.5937,"get, time, know, play, see, day, big, share, future, street","['design', 'air', 'yeezy']"
"We grew closer every mile.
",,We grew closer every mile.,,We grew closer every mile.,,We grew closer every mile.,We grew closer every,grew closer every,0.0,0.0,1.0,0.0,296,3,0.3092,"never, make, world, always, even, do, love, give, stay, well","['grow', 'close']"
"Off the couch and into the world. Every action is an opportunity to earn NikeFuel. Where will your journey take you? It's time to find out. The Nike+ FuelBand is available at select U.S. Nike Stores now. @vegaman18 @alexisrl @bocaskates @jasonmpeterson @jerryvene @offtheschwall @roikiine @zanolandroquo @lsw_g35
",,Off the couch and into the world. Every action is an opportunity to earn NikeFuel. Where will your journey take you? It's time to find out. The Nike+ FuelBand is available at select U.S. Nike Stores now. @vegaman18 @alexisrl @bocaskates @jasonmpeterson @jerryvene @offtheschwall @roikiine @zanolandroquo @lsw_g35,,Off the couch and into the world. Every action is an opportunity to earn NikeFuel. Where will your journey take you? It's time to find out. The Nike+ FuelBand is available at select U.S. Nike Stores now. @vegaman18 @alexisrl @bocaskates @jasonmpeterson @jerryvene @offtheschwall @roikiine @zanolandroquo @lsw_g35,@vegaman18 @alexisrl @bocaskates @jasonmpeterson @jerryvene @offtheschwall @roikiine @zanolandroquo @lsw_g35,Off the couch and into the world. Every action is an opportunity to earn NikeFuel. Where will your journey take you? It's time to find out. The Nike+ FuelBand is available at select U.S. Nike Stores now.,Off the couch and into the Every action is an opportunity to earn Where will your journey take time to find The FuelBand is available at select Nike Stores,couch Every action opportunity earn journey take time find FuelBand available select Nike Stores,0.177,0.0,0.823,0.4215,297,2,0.3495,"get, time, know, play, see, day, big, share, future, street","['couch', 'action', 'opportunity', 'earn', 'journey', 'take', 'time', 'find', 'fuelband', 'available', 'select', 'store']"
"Different opponent. Same result. #justdoit
",,Different opponent. Same result. #justdoit,#justdoit,Different opponent. Same result.,,Different opponent. Same result.,Different Same,Different,0.0,0.0,1.0,0.0,298,1,0.4171,"take, run, first, step, come, stop, start, push, next, year",['different']
"Life is a sport when @FlyingLotus takes us on a journey at @MusicfestNW. #nikemfnw
",,Life is a sport when @FlyingLotus takes us on a journey at @MusicfestNW. #nikemfnw,#nikemfnw,Life is a sport when @FlyingLotus takes us on a journey at @MusicfestNW.,@FlyingLotus @MusicfestNW.,Life is a sport when takes us on a journey at,Life is a sport when takes us on a journey at,Life sport takes us journey,0.0,0.0,1.0,0.0,299,3,0.3578,"never, make, world, always, even, do, love, give, stay, well","['life', 'sport', 'take', 'journey']"
"We Run DC.
",,We Run DC.,,We Run DC.,,We Run DC.,We Run,Run,0.0,0.0,1.0,0.0,300,1,0.3925,"take, run, first, step, come, stop, start, push, next, year",['run']
"“Everyone’s waiting out there for you. You know what to do.”
",,“Everyone’s waiting out there for you. You know what to do.”,,“Everyone’s waiting out there for you. You know what to do.”,,“Everyone’s waiting out there for you. You know what to do.”,waiting out there for You know what to,waiting know,0.0,0.0,1.0,0.0,301,2,0.515,"get, time, know, play, see, day, big, share, future, street","['wait', 'know']"
"We called in @cdunn19 and @debinhaa7 to help us build the new Phantom Luna. 🌙⚽ 
",,We called in @cdunn19 and @debinhaa7 to help us build the new Phantom Luna. 🌙⚽,,We called in @cdunn19 and @debinhaa7 to help us build the new Phantom Luna. 🌙⚽,@cdunn19 @debinhaa7,We called in and to help us build the new Phantom Luna. 🌙⚽,We called in and to help us build the new Phantom,called help us build new Phantom,0.351,0.0,0.649,0.4019,302,4,0.4213,"good, feel, thing, look, athlete, new, nike, go, second, football","['call', 'help', 'build', 'new', 'phantom']"
"82 centimeters of air in Paris. #WBF
",,82 centimeters of air in Paris. #WBF,#WBF,82 centimeters of air in Paris.,,82 centimeters of air in Paris.,centimeters of air in,centimeters air,0.0,0.0,1.0,0.0,303,2,0.5121,"get, time, know, play, see, day, big, share, future, street","['centimeter', 'air']"
"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.
",,"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.",,"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.",,"Breakdancing may seem like an unexpected beach sport, but in the West African city of Dakar, locals come to the shore every day to watch this crew perform.",Breakdancing may seem like an unexpected beach but in the West African city of locals come to the shore every day to watch this crew,Breakdancing may seem like unexpected beach West African city locals come shore every day watch crew,0.143,0.0,0.857,0.3612,304,2,0.4801,"get, time, know, play, see, day, big, share, future, street","['breakdance', 'seem', 'unexpected', 'beach', 'west', 'african', 'city', 'local', 'come', 'shore', 'day', 'watch', 'crew']"
"Never bet against Houston.
",,Never bet against Houston.,,Never bet against Houston.,,Never bet against Houston.,Never bet against,Never bet,0.0,0.0,1.0,0.0,305,3,0.4959,"never, make, world, always, even, do, love, give, stay, well","['never', 'bet']"
"Here’s to everything that moves you, and anything that matches your mood.
",,"Here’s to everything that moves you, and anything that matches your mood.",,"Here’s to everything that moves you, and anything that matches your mood.",,"Here’s to everything that moves you, and anything that matches your mood.",to everything that moves and anything that matches your,everything moves anything matches,0.0,0.0,1.0,0.0,306,2,0.5165,"get, time, know, play, see, day, big, share, future, street","['move', 'match']"
"Stand up
",,Stand up,,Stand up,,Stand up,Stand up,Stand,0.0,0.0,1.0,0.0,307,2,0.4028,"get, time, know, play, see, day, big, share, future, street",['stand']
"Silence the noise and watch the show. @castersemenya800m runs the show.
",,Silence the noise and watch the show. @castersemenya800m runs the show.,,Silence the noise and watch the show. @castersemenya800m runs the show.,@castersemenya800m,Silence the noise and watch the show. runs the show.,Silence the noise and watch the runs the,Silence noise watch runs,0.0,0.0,1.0,0.0,308,0,0.4055,"find, way, want, mean, team, game, dream, watch, break, think","['noise', 'watch', 'run']"
"Rock Ice. Fuel up. The Nike+ FuelBand: Available now at Nike.com in Black Ice and White Ice. #nike #fuelband #nikefuel #nikeplus
",,Rock Ice. Fuel up. The Nike+ FuelBand: Available now at Nike.com in Black Ice and White Ice. #nike #fuelband #nikefuel #nikeplus,#nike #fuelband #nikefuel #nikeplus,Rock Ice. Fuel up. The Nike+ FuelBand: Available now at Nike.com in Black Ice and White Ice.,,Rock Ice. Fuel up. The Nike+ FuelBand: Available now at Nike.com in Black Ice and White Ice.,Rock Fuel The Available now at in Black Ice and White,Rock Fuel Available Black Ice White,0.0,0.0,1.0,0.0,309,0,0.3608,"find, way, want, mean, team, game, dream, watch, break, think","['rock', 'fuel', 'available', 'black', 'ice', 'white']"
"“Believe in yourself and enjoy the game.” -@Giannis_An34
",,“Believe in yourself and enjoy the game.” -@Giannis_An34,,“Believe in yourself and enjoy the game.” -@Giannis_An34,,“Believe in yourself and enjoy the game.” -@Giannis_An34,in yourself and enjoy the,enjoy,1.0,0.0,0.0,0.4939,310,0,0.3613,"find, way, want, mean, team, game, dream, watch, break, think",['enjoy']
"The fast are never forgotten. #justdoit
",,The fast are never forgotten. #justdoit,#justdoit,The fast are never forgotten.,,The fast are never forgotten.,The fast are never,fast never,0.0,0.0,1.0,0.0,311,2,0.326,"get, time, know, play, see, day, big, share, future, street","['fast', 'never']"
"“Smiling doesn’t win you gold medals.” - @simonebiles
",,“Smiling doesn’t win you gold medals.” - @simonebiles,,“Smiling doesn’t win you gold medals.” - @simonebiles,@simonebiles,“Smiling doesn’t win you gold medals.” -,win you gold,win gold,0.792,0.0,0.208,0.5859,312,1,0.3392,"take, run, first, step, come, stop, start, push, next, year","['win', 'gold']"
"Find your ups like @TeamVic with Nike+ Training.
",,Find your ups like @TeamVic with Nike+ Training.,,Find your ups like @TeamVic with Nike+ Training.,@TeamVic,Find your ups like with Nike+ Training.,Find your ups like with,Find ups like,0.556,0.0,0.444,0.3612,313,0,0.4759,"find, way, want, mean, team, game, dream, watch, break, think","['find', 'up']"
"We're in Paris and ready to put these Volt Flyknits to work on our way to 8.12.  How are you preparing to #findgreatness?
",,We're in Paris and ready to put these Volt Flyknits to work on our way to 8.12. How are you preparing to #findgreatness?,#findgreatness?,We're in Paris and ready to put these Volt Flyknits to work on our way to 8.12. How are you preparing to,,We're in Paris and ready to put these Volt Flyknits to work on our way to 8.12. How are you preparing to,in Paris and ready to put these Volt Flyknits to work on our way to How are you preparing to,Paris ready put Volt Flyknits work way preparing,0.263,0.0,0.737,0.3612,314,4,0.4303,"good, feel, thing, look, athlete, new, nike, go, second, football","['volt', 'flyknit', 'work', 'way', 'prepare']"
